"Contact Details","Chi tiết liên hệ"
"New Memo","Ghi nhớ Mới"
"The credit memo's total must be positive.","Tất cả các bản ghi nhớ tín dụng phải được chứng thực."
"Cannot create online refund for Refund to Store Credit.","Không thể tạo hoàn trả trực tuyến cho cửa hàng tín dụng."
"You created the credit memo.","Bạn tạo ra các bản ghi nhớ tín dụng."
"We can't save the credit memo right now.","Chúng tôi không thể lưu các bản ghi nhớ tín dụng ngay bây giờ."
"We can't update the item's quantity right now.","Chúng tôi không thể cập nhật số lượng sản phẩm ngay bây giờ."
"View Memo for #%1","Xem bản ghi nhớ cho #%1"
"View Memo","Xem bản ghi nhớ"
"You voided the credit memo.","Bạn bỏ ghi nhớ tín dụng."
"We can't void the credit memo.","Không thể để trống ghi nhớ tín dụng."
"The order no longer exists.","Đơn hàng này không còn tồn tại."
"We can't create credit memo for the order.","Chúng tôi không thể tạo memo tín dụng cho đơn đặt hàng."
"This creditmemo no longer exists.","This creditmemo no longer exists."
"Edit Order","Chỉnh sửa đơn đặt hàng"
"You sent the order email.","Bạn đã gửi email đặt hàng."
"We can't send the email order right now.","Chúng tôi không thể gửi email đặt hàng ngay bây giờ."
"You have not put the order on hold.","Bạn không giữ đơn đặt hàng."
"You put the order on hold.","Bạn đã giữ đơn đặt hàng."
"You canceled the invoice.","Bạn đã hủy hoá đơn."
"Invoice canceling error","Huỷ Hoá đơn bị lỗi"
"The invoice has been captured.","Hóa đơn đã được chụp."
"The order does not allow an invoice to be created.","Đơn hàng không cho phép tạo ra hóa đơn."
"The invoice can't be created without products. Add products and try again.","The invoice can't be created without products. Add products and try again."
"New Invoice","Hóa đơn mới"
"The invoice can't be saved at this time. Please try again later.","The invoice can't be saved at this time. Please try again later."
"We can't send the invoice email right now.","Chúng tôi không thể gửi email hóa đơn ngay bây giờ."
"We can't send the shipment right now.","Chúng tôi không thể gửi hàng ngay bây giờ."
"You created the invoice and shipment.","Bạn đã tạo hóa đơn và vận chuyển."
"The invoice has been created.","Hoá đơn đã được tạo ra."
"Cannot update item quantity.","Không thể cập nhật số lượng mặt hàng."
"The invoice has been voided.","Hoá đơn đã được bỏ trống."
"Invoice voiding error","Hoá đơn bỏ trống bị lỗi"
"%1 order(s) cannot be canceled.","%1 đơn hàng không thể bị hủy bỏ."
"You cannot cancel the order(s).","Bạn không thể hủy bỏ các đơn hàng."
"We canceled %1 order(s).","Chúng tôi hủy bỏ %1 đơn hàng."
"%1 order(s) were not put on hold.","%1 đơn hàng đã không được giữ."
"No order(s) were put on hold.","Không có đơn hàng nào được giữ."
"You have put %1 order(s) on hold.","Bạn giữ %1 đơn hàng."
"%1 order(s) were not released from on hold status.","%1 đơn hàng đã không được phát hành từ trạng thái giữ."
"No order(s) were released from on hold status.","Không có đơn hàng nào được phát hành từ trạng thái giữ."
"%1 order(s) have been released from on hold status.","%1 đơn hàng đã được phát hành từ trạng thái giữ."
"There are no printable documents related to selected orders.","Không có tài liệu không thể in mà liên quan đến đơn đặt hàng đã chọn."
"The payment has been accepted.","Các khoản thanh toán đã được chấp nhận."
"The payment has been denied.","Các khoản thanh toán đã bị từ chối."
"Transaction has been approved.","Giao dịch đã được phê duyệt."
"Transaction has been voided/declined.","Giao dịch đã bị để trống/từ chối."
"There is no update for the transaction.","Không có bản Cập Nhật nào cho các giao dịch."
"Action ""%1"" is not supported.","Action ""%1"" is not supported."
"We can't update the payment right now.","Chúng tôi không thể cập nhật các khoản thanh toán ngay bây giờ."
"You assigned the order status.","Bạn chỉ định trạng thái đơn đặt hàng."
"Something went wrong while assigning the order status.","Một cái gì đó đã đi sai trong khi gán tình trạng đơn hàng."
"We can't find this order status.","Chúng tôi không thể tìm thấy tình trạng đơn hàng này."
"Create New Order Status","Tạo trạng thái đơn đặt hàng mới"
"We found another order status with the same order status code.","Chúng tôi tìm thấy một tình trạng đơn hàng với mã trạng thái đơn đặt hàng tương tự."
"You saved the order status.","Bạn đã lưu trạng thái đơn hàng."
"We can't add the order status right now.","Chúng tôi không thể thêm tình trạng đơn hàng ngay bây giờ."
"You have unassigned the order status.","Bạn đã bỏ chỉ định trạng thái đơn đặt hàng."
"Something went wrong while unassigning the order.","Một cái gì đó đã đi sai trong khi bỏ chỉ định đơn hàng."
"Can't unhold order.","Không thể bỏ đơn đặt hàng."
"You released the order from holding status.","Bạn phát hành đơn hàng từ trạng thái Giữ."
"The order was not on hold.","đơn hàng đã không giữ lại."
"Exception occurred during order load","Ngoại lệ xảy ra trong khi tải đơn hàng"
"Something went wrong while saving the gift message.","Một cái gì đó đã đi sai trong khi lưu thông điệp món quà."
"You saved the gift card message.","Bạn lưu thông báo thẻ quà tặng."
"The payment has been voided.","Các khoản thanh toán đã bị để trống."
"We can't void the payment right now.","Chúng tôi không thể làm mất hiệu lực thanh toán ngay bây giờ."
"Please correct the transaction ID and try again.","Xin vui lòng sửa ID giao dịch và thử lại."
"The transaction details have been updated.","Các chi tiết giao dịch đã được Cập Nhật."
"We can't update the transaction details.","Chúng tôi không thể cập nhật chi tiết giao dịch."
"Orders and Returns","Đơn đặt hàng và trả lại"
"Home","Trang chủ"
"Go to Home Page","Đi đến trang chủ"
"You entered incorrect data. Please try again.","Bạn đã nhập dữ liệu không chính xác. Xin vui lòng thử lại."
"We can't find this wish list.","Chúng tôi không tìm thấy danh sách cần mua này."
"We could not add a product to cart by the ID ""%1"".","Chúng tôi không thể thêm một sản phẩm vào giỏ hàng bởi ID ""%1""."
"There is an error in one of the option rows.","Đó là lỗi trong các tùy chọn hàng."
"Shipping Address: ","Địa chỉ giao hàng: "
"Billing Address: ","Địa chỉ thanh toán: "
"Please specify order items.","Xin vui lòng chỉ ra khoản mục đặt hàng."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"This payment method is not available.","Phương thức thanh toán này không có sẵn."
"Validation is failed.","Xác nhận đã thất bại."
"You did not email your customer. Please check your email settings.","Bạn đã không gửi email cho khách hàng của bạn. Hãy kiểm tra cài đặt email của bạn."
"-- Please Select --","-- Vui lòng chọn --"
"Path ""%1"" is not part of allowed directory ""%2""","đường dẫn ""%1"" không phải là một phần của thư mục được cho phép ""%2"""
"Identifying Fields required","Việc xác định trường bắt buộc"
"An ID is needed. Set the ID and try again.","An ID is needed. Set the ID and try again."
"""Invoice Document Validation Error(s):\n"" .","""Invoice Document Validation Error(s):\n"" ."
"Could not save an invoice, see error log for details","Could not save an invoice, see error log for details"
"A hold action is not available.","Thao tác giữ là không có sẵn."
"You cannot remove the hold.","Bạn không thể loại bỏ phần giữ."
"We cannot cancel this order.","Chúng tôi không thể hủy bỏ đơn đặt hàng này."
"Guest","Khách"
"Please enter the first name.","Vui lòng nhập tên."
"Please enter the last name.","Vui lòng nhập họ."
"Please enter the street.","Vui lòng nhập tên đường."
"Please enter the city.","Vui lòng nhập thành phố."
"Please enter the phone number.","Vui lòng nhập số điện thoại."
"Please enter the company.","Please enter the company."
"Please enter the fax number.","Please enter the fax number."
"Please enter the zip/postal code.","Vui lòng nhập mã bưu chính."
"Please enter the country.","Vui lòng nhập quốc gia."
"Please enter the state/province.","Vui lòng nhập tiểu bang/tỉnh."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The order address couldn't be deleted.","The order address couldn't be deleted."
"The order address couldn't be saved.","The order address couldn't be saved."
"Pending","Đợi duyệt"
"Refunded","Đã hoàn trả"
"Canceled","Đã hủy bỏ"
"Unknown State","Không rõ bang"
"Could not delete the comment.","Could not delete the comment."
"Could not save the creditmemo comment.","Could not save the creditmemo comment."
"We found an invalid quantity to refund item ""%1"".","Chúng tôi tìm thấy một số lượng không hợp lệ để hoàn trả các sản phẩm ""%1""."
"The creditmemo contains product item that is not part of the original order.","The creditmemo contains product item that is not part of the original order."
"The creditmemo contains incorrect product items.","The creditmemo contains incorrect product items."
"The quantity to refund must not be greater than the unrefunded quantity.","The quantity to refund must not be greater than the unrefunded quantity."
"Could not delete the credit memo item.","Could not delete the credit memo item."
"Could not save the credit memo item.","Could not save the credit memo item."
"You can not refund shipping if there is no shipping amount.","You can not refund shipping if there is no shipping amount."
"Maximum shipping amount allowed to refund is: %1","Số tiền vận chuyển tối đa được cho phép để hoàn trả là: %1"
"Order Id is required for creditmemo document","Order Id is required for creditmemo document"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","The creditmemo contains product SKU ""%1"" that is not part of the original order."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1""."
"You can't create a creditmemo without products.","You can't create a creditmemo without products."
"The most money available to refund is %1.","Số tiền Nhiều nhất có sẵn để hoàn trả là %1."
"The credit memo couldn't be deleted.","The credit memo couldn't be deleted."
"The credit memo couldn't be saved.","The credit memo couldn't be saved."
"This order already has associated customer account","Đơn hàng này đã kết hợp tài khoản khách hàng"
"Paid","Đã trả"
"We cannot register an existing invoice","Chúng tôi không thể đăng ký hóa đơn hiện tại"
"Could not delete the invoice comment.","Could not delete the invoice comment."
"Could not save the invoice comment.","Could not save the invoice comment."
"Could not delete the invoice item.","Could not delete the invoice item."
"Could not save the invoice item.","Could not save the invoice item."
"We can't create creditmemo for the invoice.","We can't create creditmemo for the invoice."
"Order Id is required for invoice document","Order Id is required for invoice document"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1""."
"The invoice contains one or more items that are not part of the original order.","The invoice contains one or more items that are not part of the original order."
"Unknown Status","Không rõ trạng thái"
"Ordered","Đã đặt hàng"
"Shipped","Đã vận chuyển"
"Invoiced","Đã lập hoá đơn"
"Backordered","Đơn hàng lưu trữ"
"Returned","Trở lại"
"Partial","Một phần"
"Mixed","Hỗn hợp"
"Registered a Void notification.","Đăng ký thông báo trống."
"If the invoice was created offline, try creating an offline credit memo.","Nếu hóa đơn được tạo ngoại tuyến, hãy thử tạo một ghi nhớ tín dụng ngoại tuyến."
"We refunded %1 online.","Chúng tôi hoàn lại %1 trực tuyến."
"We refunded %1 offline.","Chúng tôi hoàn lại %1 ngoại tuyến."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Hoàn trả"". Hoàn trả do thương gia. Đăng ký thông báo về số tiền hoàn lại của %1. ID giao dịch: ""%2"". Ghi nhớ tín dụng đã không được tạo. Hãy tạo diễn đàn tín dụng ghi nhớ."
"The credit memo has been created automatically.","Ghi nhớ tín dụng đã được tạo ra tự động."
"Registered notification about refunded amount of %1.","Đăng ký thông báo về số tiền hoàn lại của %1."
"Canceled order online","Hủy bỏ đơn đặt hàng trực tuyến"
"Canceled order offline","Hủy bỏ đơn đặt hàng ngoại tuyến"
"Approved the payment online.","Chấp nhận thanh toán trực tuyến."
"There is no need to approve this payment.","Không cần phải chấp nhận các khoản thanh toán này."
"Denied the payment online","Bị từ chối thanh toán trực tuyến"
"Registered update about approved payment.","Đăng ký Cập Nhật về thanh toán được chấp thuận."
"Registered update about denied payment.","Đăng ký Cập Nhật về thanh toán bị từ chối."
"There is no update for the payment.","Không có bản Cập Nhật cho các khoản thanh toán."
"Voided authorization.","ủy quyền bị để trống."
"Amount: %1.","Số lượng: %1."
"Transaction ID: ""%1""","ID giao dịch: ""%1"""
"The payment method you requested is not available.","Phương thức thanh toán bạn đã yêu cầu không có sẵn."
"The payment disallows storing objects.","Các khoản thanh toán không cho phép lưu trữ các đối tượng."
"The transaction ""%1"" cannot be captured yet.","Các giao dịch ""%1"" chưa thể được chụp."
"The parent transaction ID must have a transaction ID.","ID giao dịch mẹ phải có một ID giao dịch."
"Payment transactions disallow storing objects.","Giao dịch thanh toán không cho phép lưu trữ các đối tượng."
"The transaction ""%1"" (%2) is already closed.","Các giao dịch ""%1"" (%2) đã được đóng lại."
"Set order for existing transactions not allowed","Thiết lập các đơn đặt hàng cho các giao dịch hiện tại không được phép"
"At minimum, you need to set a payment ID.","Ở mức tối thiểu, bạn cần phải thiết lập một thanh toán."
"Order","Đơn hàng"
"Authorization","Ủy quyền"
"We found an unsupported transaction type ""%1"".","Chúng tôi tìm thấy một loại giao dịch không được hỗ trợ ""%1""."
"Please set a proper payment and order id.","Vui lòng đặt một id đơn đặt hàng và thanh toán phù hợp."
"Please enter a Transaction ID.","Vui lòng nhập một ID giao dịch."
"You can't do this without a transaction object.","Bạn không thể làm điều này mà không có một đối tượng của giao dịch."
"Order # ","Đơn hàng # "
"Order Date: ","Ngày đặt hàng: "
"Sold to:","Bán cho:"
"Ship to:","Gửi đến:"
"Payment Method:","Phương thức thanh toán:"
"Shipping Method:","Phương thức vận chuyển:"
"Total Shipping Charges","Tổng Chi phí vận chuyển"
"Title","Tiêu đề"
"Number","Số"
"We found an invalid renderer model.","Chúng tôi tìm thấy một mô hình tái tạo không hợp lệ."
"Please define the PDF object before using.","Xin vui lòng xác định đối tượng PDF trước khi sử dụng."
"We don't recognize the draw line data. Please define the ""lines"" array.","Không thể xác nhận các dữ liệu được kẻ. Hãy xác định số ""lines"" của mảng."
"Products","Các sản phẩm"
"Total (ex)","Tổng cộng (cũ)"
"Qty","Số lượng"
"Tax","Thuế"
"Total (inc)","Tổng cộng (inc)"
"Credit Memo # ","Ghi nhớ Tín dụng # "
"Invoice # ","Số hóa đơn "
"The order object is not specified.","Các đối tượng đơn hàng không được chỉ định."
"The source object is not specified.","Nguồn Đối tượng không xác định."
"An item object is not specified.","Một đối tượng sản phẩm không được chỉ định."
"A PDF object is not specified.","Một đối tượng PDF không được chỉ định."
"A PDF page object is not specified.","Một đối tượng trang PDF không được chỉ định."
"Excl. Tax","Chưa bao gồm thuế"
"Incl. Tax","Đã bao gồm thuế"
"Packing Slip # ","Bao bì trượt # "
"title","tiêu đề"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","%1 tất cả mẫu PDF phải hoặc mở rộng \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","Received check doesn't match interface"
"We cannot register an existing shipment","Chúng tôi không thể đăng ký một lô hàng sẵn có"
"Could not delete the shipment comment.","Could not delete the shipment comment."
"Could not save the shipment comment.","Could not save the shipment comment."
"Could not delete the shipment item.","Could not delete the shipment item."
"Could not save the shipment item.","Could not save the shipment item."
"The ""%1"" validator is not an instance of the general validator interface.","The ""%1"" validator is not an instance of the general validator interface."
"Parent shipment cannot be loaded for track object.","Vận chuyển mẹ không thể nạp được cho các đối tượng theo dõi."
"Could not delete the shipment tracking.","Could not delete the shipment tracking."
"Could not save the shipment tracking.","Could not save the shipment tracking."
"Order Id is required for shipment document","Order Id is required for shipment document"
"You can't create a shipment without products.","You can't create a shipment without products."
"The shipment contains product SKU ""%1"" that is not part of the original order.","The shipment contains product SKU ""%1"" that is not part of the original order."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1""."
"Please enter a tracking number.","Vui lòng nhập một số theo dõi."
"The shipment couldn't be deleted.","The shipment couldn't be deleted."
"The shipment couldn't be saved.","The shipment couldn't be saved."
"The last status can't be changed and needs to stay assigned to its current state.","The last status can't be changed and needs to stay assigned to its current state."
"The status can't be unassigned because the status is currently used by an order.","The status can't be unassigned because the status is currently used by an order."
"Could not delete the order status history.","Could not delete the order status history."
"Could not save the order status history.","Could not save the order status history."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","Các mô hình tổng số nên được mở rộng từ \Magento\Sales\Model\Order\Total\AbstractTotal."
"An invoice cannot be created when an order has a status of %1","An invoice cannot be created when an order has a status of %1"
"A creditmemo can not be created when an order has a status of %1","A creditmemo can not be created when an order has a status of %1"
"The order does not allow a creditmemo to be created.","The order does not allow a creditmemo to be created."
"A shipment cannot be created when an order has a status of %1","A shipment cannot be created when an order has a status of %1"
"The order does not allow a shipment to be created.","The order does not allow a shipment to be created."
"""Creditmemo Document Validation Error(s):\n"" .","""Creditmemo Document Validation Error(s):\n"" ."
"Could not save a Creditmemo, see error log for details","Could not save a Creditmemo, see error log for details"
"Cannot find order number ""%1"" in store ""%2""","Cannot find order number ""%1"" in store ""%2"""
"Reorders are not allowed.","Reorders are not allowed."
"Could not find a product with ID ""%1""","Could not find a product with ID ""%1"""
"Could not add the product with SKU ""%1"" to the shopping cart: %2","Could not add the product with SKU ""%1"" to the shopping cart: %2"
"Could not add the product with SKU ""%1"" to the shopping cart","Could not add the product with SKU ""%1"" to the shopping cart"
"We cannot determine the field name.","Chúng tôi không thể xác định tên trường."
"City","Thành phố"
"Company","Công ty"
"Country","Quốc gia"
"Email","Email"
"First Name","Tên"
"Last Name","Họ"
"State/Province","Bang/tỉnh"
"Street Address","Địa chỉ đường"
"Phone Number","Số Điện thoại"
"Zip/Postal Code","Mã bưu chính"
"We can't save the address:\n%1","Chúng tôi không thể lưu địa chỉ: \n%1"
"Cannot save comment:\n%1","Không thể lưu bình luận:\n%1"
"We don't have enough information to save the parent transaction ID.","Chúng tôi không có đủ thông tin để lưu các các ID cha của giao dịch của bạn."
"We cannot create an empty shipment.","Chúng tôi không thể tạo một lô hàng không có sản phẩm nào."
"Cannot save track:\n%1","Không thể lưu theo dõi:\n%1"
"The status needs to remain assigned to its state.","The status needs to remain assigned to its state."
"New Orders","Đơn đặt hàng mới"
"Order #%1 created at %2","Đơn đặt hàng #%1 được tạo ra tại %2"
"Details for %1 #%2","Thông tin chi tiết cho %1 #%2"
"Notified Date: %1","Thông báo ngày: %1"
"Comment: %1<br/>","Bình luận: %1 <br/>"
"Current Status: %1<br/>","Trạng thái hiện tại: %1 <br/>"
"Total: %1<br/>","Tổng số: %1 <br/>"
"Order # %1 Notification(s)","Đơn đặt hàng # %1 có thông báo"
"You can not cancel Credit Memo","Bạn có thể không hủy Ghi nhớ tín dụng"
"We cannot register an existing credit memo.","Chúng tôi không thể đăng ký một bản ghi nhớ tín dụng hiện tại."
"We found an invalid quantity to invoice item ""%1"".","Chúng tôi tìm thấy một số lượng không hợp lệ với hóa đơn sản phẩm ""%1""."
"The Order State ""%1"" must not be set manually.","Trạng thái đơn đặt hàng ""%1"" không phải được thiết lập theo cách thủ công."
"""Shipment Document Validation Error(s):\n"" .","""Shipment Document Validation Error(s):\n"" ."
"Could not save a shipment, see error log for details","Could not save a shipment, see error log for details"
"VAT Request Identifier","Yêu cầu xác nhận VAT"
"VAT Request Date","Ngày yêu cầu VAT"
"Pending Payment","Đang chờ xử lý thanh toán"
"Processing","Đang tiến hành"
"On Hold","Giữ lại"
"Complete","Hoàn tất"
"Closed","Đóng cửa"
"Suspected Fraud","Nghi ngờ gian lận"
"Payment Review","Xem xét thanh toán"
"New","Mới"
"This product is out of stock.","This product is out of stock."
"Product doesn't exist","Product doesn't exist"
"test message","kiểm tra tin nhắn"
"Email has not been sent","Email chưa được gửi"
"Authorized amount of %1","Số tiền được ủy quyền của %1"
" Transaction ID: ""%1"""," ID giao dịch: ""%1"""
"Sample message.","Sample message."
"View","Hiển thị"
"Group was removed","Nhóm đã được gỡ bỏ"
"Update Totals","Update Totals"
"Changing address information will not recalculate shipping, tax or other order amount.","Thay đổi thông tin địa chỉ sẽ không tính toán lại phí vận chuyển, thuế hoặc số tiền đơn đặt hàng khác."
"Comment Text","Văn bản Bình luận"
"Notify Customer by Email","Thông báo cho khách hàng bằng Email"
"Visible on Storefront","Có thể nhìn thấy trên Storefront"
"Customer","Khách hàng"
"Notified","Thông báo"
"Not Notified","Không thông báo"
"No Payment Methods","Không có phương thức thanh toán"
"Order Comments","Bình luận"
"Apply Coupon Code","Dùng mã khuyến mãi"
"Apply","Áp dụng"
"Remove Coupon Code","Bỏ mã khuyến mãi"
"Remove","Loại bỏ"
"Address Information","Thông tin địa chỉ"
"Payment &amp; Shipping Information","Thanh toán &amp; thông tin vận chuyển"
"Order Total","Tổng đơn đặt hàng"
"Order Currency:","đơn vị tiền tệ cho đơn hàng:"
"Same As Billing Address","Giống như địa chỉ thanh toán"
"Select from existing customer addresses:","Chọn tùy chọn địa chỉ khách hàng hiện tại:"
"Add New Address","Thêm địa chỉ mới"
"Add to address book","Add to address book"
"You don't need to select a shipping address.","Bạn không cần chọn địa chỉ vận chuyển."
"Gift Message for the Entire Order","Tin nhắn Quà tặng cho toàn bộ đơn hàng"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Hãy để trống phần này nếu bạn không muốn để lại một tin nhắn quà cho toàn bộ các đơn hàng."
"Row Subtotal","Tổng theo hàng"
"Action","Thao tác"
"No ordered items","Không có sản phẩm nào được đặt"
"Update Items and Quantities","Cập nhật sản phẩm và số lượng"
"Total %1 product(s)","Tổng số sản phẩm %1"
"Subtotal:","Tổng phụ:"
"Tier Pricing","Giá theo bậc"
"Custom Price","Tuỳ chỉnh giá"
"Please select","Vui lòng chọn"
"Move to Shopping Cart","Di chuyển tới giỏ hàng"
"Move to Wish List","Chuyển đến Danh sách mong muốn"
"Subscribe to Newsletter","Đăng ký nhận bản tin"
"Click to change shipping method","Nhấn vào đây để thay đổi phương thức vận chuyển"
"Sorry, no quotes are available for this order.","Xin lỗi, không có trích dẫn có sẵn cho đơn hàng này."
"Get shipping methods and rates","Nhận phương pháp vận chuyển và tỷ giá"
"You don't need to select a shipping method.","Bạn không cần phải chọn phương thức vận chuyển."
"Customer's Activities","Hoạt động của khách hàng"
"Refresh","Tải lại"
"Item","Sản phẩm"
"Add To Order","Thêm vào đơn đặt hàng"
"Configure and Add to Order","Cấu hình và thêm để vào đơn hàng"
"No items","Không có sản phẩm"
"Append Comments","Thêm bình luận"
"Email Order Confirmation","Email xác nhận đặt hàng"
"Grand Total Excl. Tax","Tổng chưa bao gồm thuế"
"Grand Total Incl. Tax","Tổng đã bao gồm thuế"
"Subtotal (Excl. Tax)","Tổng phụ (chưa bao gồm thuế)"
"Subtotal (Incl. Tax)","Tổng phụ (đã bao gồm thuế)"
"Payment &amp; Shipping Method","Thanh toán &amp; phương pháp vận chuyển"
"Payment Information","Thông tin thanh toán"
"The order was placed using %1.","Đơn hàng được đặt bằng cách sử dụng %1."
"Shipping Information","Thông tin vận chuyển"
"Items to Refund","Sản phẩm để hoàn lại tiền"
"Return to Stock","Có lại hàng"
"Qty to Refund","Số lượng để hoàn lại tiền"
"Tax Amount","Số tiền thuế"
"Discount Amount","Lượng chiết khấu"
"Row Total","Tổng số dòng"
"No Items To Refund","Không có sản phẩm để hoàn lại tiền"
"Credit Memo Comments","Nhận xét ghi nhớ tín dụng"
"Refund Totals","Hoàn trả lại tổng số"
"Email Copy of Credit Memo","Email bản sao của bản ghi nhớ tín dụng"
"Please enter a positive number in this field.","Vui lòng nhập số dương trong trường này."
"Items Refunded","Mặt hàng hoàn trả"
"No Items","Không có mục nào"
"Memo Total","Tổng số bản ghi nhớ"
"Credit Memo History","Bản ghi nhớ lịch sử tín dụng"
"Credit Memo Totals","Tổng số Ghi Nhớ Tín Dụng"
"Customer Name: %1","Tên khách hàng: %1"
"Purchased From: %1","Mua từ: %1"
"Gift Message","Tin nhắn quà tặng"
"From:","Từ:"
"To:","Đến:"
"Message:","Tin nhắn:"
"Shipping &amp; Handling","Vận chuyển &amp; xử lý"
"Gift Options","Tùy chọn Quà tặng"
"Create Shipment","Tạo lô hàng"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Các loại hóa đơn và vận chuyển không phù hợp cho một số mặt hàng đặt hàng này. Bạn có thể tạo một lô hàng chỉ sau khi tạo hoá đơn."
"%1","%1"
"Qty to Invoice","Số lượng đến hóa đơn"
"Invoice History","Lịch sử hoá đơn"
"Invoice Comments","Bình luận của hóa đơn"
"Invoice Totals","Tổng số hóa đơn"
"Amount","Số lượng"
"Capture Online","Chụp ảnh trực tuyến"
"Capture Offline","Chụp hình ngoại tuyến"
"Not Capture","Không chụp"
"The invoice will be created offline without the payment gateway.","Hóa đơn sẽ được tạo ngoại tuyến mà không có cổng thanh toán."
"Email Copy of Invoice","Email bản sao của hóa đơn"
"Items Invoiced","Hoá đơn sản phẩm"
"Total Due","Tất cả do"
"Total Tax","Tổng số thuế"
"From Name","Từ tên"
"To Name","Để đặt tên"
"Status","Trạng thái"
"Comment","Bình luận"
"Notification Not Applicable","Thông báo không áp dụng"
"Order & Account Information","Thứ tự & thông tin tài khoản"
"The order confirmation email was sent","Email xác nhận đơn đặt hàng đã được gửi"
"The order confirmation email is not sent","Email xác nhận đơn đặt hàng không được gửi"
"Order Date","Ngày đặt hàng"
"Order Date (%1)","Ngày đặt hàng (%1)"
"Purchased From","Mua từ"
"Link to the New Order","Liên kết với đơn hàng mới"
"Link to the Previous Order","Liên kết để đặt hàng trước"
"Placed from IP","Đặt từ IP"
"%1 / %2 rate:","%1 / %2 tỷ lệ:"
"Edit Customer","Edit Customer"
"Customer Name","Tên khách hàng"
"Customer Group","Nhóm khách hàng"
"Notes for this Order","Ghi chú về đơn hàng này"
"Comment added","Bình luận được thêm vào"
"Transaction Data","Dữ liệu giao dịch"
"Transaction ID","ID giao dịch"
"Parent Transaction ID","ID giao dịch mẹ"
"Order ID","ID đặt hàng"
"Transaction Type","Loại giao dịch"
"Is Closed","Đóng cửa"
"Created At","Đã tạo vào"
"Child Transactions","Giao dịch con"
"Transaction Details","Chi tiết giao dịch"
"Items","Sản phẩm"
"Gift Message for this Order","Tin nhắn Quà tặng cho đơn đặt hàng này"
"Shipped By","Vận chuyển bằng"
"Tracking Number","Số theo dõi"
"Billing Last Name","Thanh toán tên cuối cùng"
"Find Order By","Tìm đơn hàng theo"
"ZIP Code","Mã bưu điện"
"Billing ZIP Code","Thanh toán với mã bưu điện"
"Continue","Tiếp tục"
"Print All Refunds","In tất cả các khoản tiền hoàn lại"
"Refund #","Hoàn lại tiền #"
"Print Refund","In hoàn lại tiền"
"Product Name","Tên sản phẩm"
"Order #","Đơn hàng #"
"Date","Ngày"
"Actions","Thao tác"
"View Order","Xem đơn đặt hàng"
"No shipping information available","Không có thông tin vận chuyển"
"Print Order","In đơn hàng"
"Print All Invoices","In tất cả các hóa đơn"
"Invoice #","Số hóa đơn"
"Print Invoice","In hóa đơn"
"Qty Invoiced","Số lượng hóa đơn"
"Close","Đóng lại"
"About Your Order","Về đơn hàng của bạn"
"<span class=""label"">Order Date:</span> %1","<span class=""label""> đặt hàng ngày:</span> %1"
"Refund #%1","Hoàn lại tiền #%1"
"Shipment #%1","Lô hàng #%1"
"Qty Shipped","Số lượng đã giao hàng"
"Recent Orders","Đơn đặt hàng gần đây"
"View All","Xem tất cả"
"Ship To","Gửi đến"
"Gift Message for This Order","Tin nhắn Quà tặng cho đơn đặt hàng này"
"Recently Ordered","Mới đặt hàng"
"Add to Cart","Thêm vào giỏ hàng"
"Product is not salable.","Product is not salable."
"Search","Tìm kiếm"
"Credit memo for your %store_name order","Bản ghi nhớ tín dụng cho đơn đặt hàng %store_name"
"%name,","%name,"
"Thank you for your order from %store_name.","Cảm ơn bạn đã đặt hàng từ %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Bạn có thể kiểm tra tình trạng đơn hàng của bạn bằng cách <a href=""%account_url""> đăng nhập vào tài khoản của bạn</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Nếu bạn có thắc mắc về đơn hàng, bạn có thể gửi email cho chúng tôi tại <a href=""mailto:%store_email""> %store_email</a>"
"Your Credit Memo #%creditmemo_id for Order #%order_id","Bản ghi nhớ tín dụng của bạn #%creditmemo_id cho đơn đặt hàng #%order_id"
"Billing Info","Thông tin thanh toán"
